Date,Open,High,Low,Close,Volume
4/8/1993,0.376156,0.379801,0.368635,0.374364,193954840
4/12/1993,0.372528,0.383684,0.372528,0.376156,110428788
4/13/1993,0.379801,0.38541,0.36292,0.364774,195204273
4/14/1993,0.36292,0.366813,0.358181,0.366813,201823651
4/15/1993,0.36292,0.36292,0.351794,0.355402,259550174
4/16/1993,0.36292,0.366813,0.356603,0.362072,815070278
4/19/1993,0.364774,0.372528,0.36292,0.364774,270422967
4/20/1993,0.366813,0.37792,0.36292,0.376156,284884460
4/21/1993,0.37792,0.381959,0.370539,0.373091,243613271
4/22/1993,0.370539,0.379801,0.368635,0.376156,187122799
4/23/1993,0.374364,0.37792,0.366813,0.370539,159196625
4/26/1993,0.370539,0.374364,0.364774,0.368635,122005976
4/27/1993,0.366813,0.37792,0.366813,0.37792,153893125
4/28/1993,0.374364,0.391156,0.374364,0.38671,193728924
4/29/1993,0.387655,0.38944,0.377043,0.381959,97841406
4/30/1993,0.381959,0.394801,0.381959,0.38541,157056657
5/3/1993,0.38541,0.391156,0.383684,0.390298,77358626
5/4/1993,0.393047,0.408098,0.391156,0.401786,202727436
5/5/1993,0.398745,0.417684,0.398745,0.409831,300329598
5/6/1993,0.409831,0.411989,0.402694,0.40443,83619081
5/7/1993,0.402694,0.411989,0.402694,0.411989,97190056
5/10/1993,0.413851,0.420454,0.413851,0.413851,163689303
5/11/1993,0.413851,0.415545,0.406272,0.409831,187960255
5/12/1993,0.408098,0.411989,0.398745,0.400497,124877029
5/13/1993,0.402694,0.419567,0.402694,0.417684,429287267
5/14/1993,0.415545,0.421292,0.413851,0.417684,139338622
5/17/1993,0.417684,0.421292,0.413851,0.419567,82648767
5/18/1993,0.417684,0.423104,0.413851,0.417684,194007972
5/19/1993,0.411989,0.432752,0.409831,0.430644,205040322
5/20/1993,0.430644,0.443869,0.430644,0.442085,344790904
5/21/1993,0.442085,0.444757,0.426988,0.432752,175877924
5/24/1993,0.426988,0.442085,0.426988,0.433384,178390059
5/25/1993,0.426988,0.432752,0.419567,0.424358,214477457
5/26/1993,0.421292,0.434557,0.4167,0.434557,144269895
5/27/1993,0.434557,0.439948,0.430644,0.432752,234136142
5/28/1993,0.428822,0.432752,0.423104,0.425835,218305570
6/1/1993,0.424999,0.434557,0.424999,0.428822,160299887
6/2/1993,0.426988,0.438193,0.421292,0.428822,237924314
6/3/1993,0.428822,0.430644,0.421292,0.424358,186152494
6/4/1993,0.419567,0.423104,0.409831,0.412935,253595434
6/7/1993,0.409831,0.411989,0.37919,0.381959,572387424
6/8/1993,0.366813,0.376156,0.361147,0.372528,737100170
6/9/1993,0.33853,0.343051,0.331029,0.332774,1398516523
6/10/1993,0.327382,0.336696,0.321657,0.334676,657123099
6/11/1993,0.33853,0.340403,0.326554,0.329246,287582742
6/14/1993,0.331029,0.336696,0.327382,0.335593,296089505
6/15/1993,0.340403,0.340403,0.315092,0.315981,532059928
6/16/1993,0.317816,0.325284,0.312375,0.317816,419025913
6/17/1993,0.319567,0.319567,0.30445,0.310205,485910601
6/18/1993,0.313004,0.316918,0.29913,0.308481,369433970
6/21/1993,0.30445,0.30445,0.297364,0.297887,324680332
6/22/1993,0.307625,0.315981,0.29913,0.311448,399207773
6/23/1993,0.314131,0.314131,0.301041,0.30445,214477457
6/24/1993,0.30445,0.314131,0.301041,0.314131,264454945
6/25/1993,0.303917,0.306658,0.297364,0.301041,305194406
6/28/1993,0.30445,0.30445,0.29155,0.30182,419663927
6/29/1993,0.302767,0.302767,0.289569,0.293345,349230348
6/30/1993,0.29155,0.29913,0.289569,0.297364,237658490
7/1/1993,0.293345,0.29913,0.285913,0.285913,258912183
7/2/1993,0.287648,0.29155,0.28408,0.289569,227423765
7/6/1993,0.287648,0.293345,0.282288,0.28408,184251770
7/7/1993,0.282288,0.285006,0.27262,0.274452,269439322
7/8/1993,0.274452,0.282288,0.27262,0.274452,164925401
7/9/1993,0.278324,0.280139,0.274452,0.276541,186179104
7/12/1993,0.276541,0.286761,0.27262,0.285913,206356159
7/13/1993,0.29155,0.29155,0.278324,0.280139,187641211
7/14/1993,0.276541,0.282288,0.269071,0.280139,292301324
7/15/1993,0.280139,0.28408,0.265148,0.269071,401174974
7/16/1993,0.214218,0.222989,0.199261,0.206975,2516667824
7/19/1993,0.210709,0.216397,0.192045,0.192979,956814657
7/20/1993,0.197445,0.208848,0.193739,0.202215,631257111
7/21/1993,0.195603,0.201298,0.192045,0.197445,541058540
7/22/1993,0.195603,0.203123,0.193739,0.199261,250618034
7/23/1993,0.203123,0.206975,0.195603,0.197445,277441042
7/26/1993,0.201298,0.206975,0.195603,0.202215,181367496
7/27/1993,0.201298,0.206975,0.197445,0.199261,235704577
7/28/1993,0.197445,0.203123,0.197445,0.202215,108940055
7/29/1993,0.203123,0.206975,0.201298,0.205013,144043949
7/30/1993,0.206975,0.212395,0.203123,0.208848,254499248
8/2/1993,0.212395,0.219974,0.210709,0.214218,256705682
8/3/1993,0.218181,0.219974,0.216397,0.218181,209439810
8/4/1993,0.219974,0.229295,0.218181,0.227541,288380252
8/5/1993,0.231445,0.231445,0.218181,0.222121,248478065
8/6/1993,0.219974,0.227541,0.219974,0.219974,149440497
8/9/1993,0.219974,0.227541,0.218181,0.223836,191562311
8/10/1993,0.222121,0.223836,0.212395,0.214218,181314295
8/11/1993,0.214218,0.214218,0.203123,0.206975,198155046
8/12/1993,0.206975,0.208848,0.195603,0.199261,401334437
8/13/1993,0.199261,0.208848,0.197445,0.20589,164739407
8/16/1993,0.206975,0.210709,0.205013,0.206975,121580662
8/17/1993,0.208848,0.214218,0.205013,0.213312,128386072
8/18/1993,0.218181,0.223836,0.212395,0.214218,223967868
8/19/1993,0.216397,0.216397,0.206975,0.206975,180543392
8/20/1993,0.208848,0.210709,0.203123,0.210709,118603283
8/23/1993,0.210709,0.216397,0.206975,0.213312,108209011
8/24/1993,0.212395,0.216397,0.208848,0.210709,120171722
8/25/1993,0.210709,0.212395,0.201298,0.205013,172993609
8/26/1993,0.205013,0.205013,0.199261,0.202215,209041103
8/27/1993,0.203123,0.203123,0.197445,0.199261,221415840
8/30/1993,0.199261,0.199261,0.194705,0.195603,324866378
8/31/1993,0.199261,0.201298,0.195603,0.199261,151753166
9/1/1993,0.199261,0.201298,0.193739,0.19651,267698091
9/2/1993,0.195603,0.197445,0.189847,0.193739,334981487
9/3/1993,0.195603,0.195603,0.189847,0.193739,193370054
9/7/1993,0.195603,0.203123,0.193739,0.197445,170348515
9/8/1993,0.197445,0.203123,0.195603,0.201298,268960832
9/9/1993,0.201298,0.203123,0.195603,0.195603,177459677
9/10/1993,0.197445,0.197445,0.190754,0.197445,159608696
9/13/1993,0.197445,0.199261,0.186349,0.189847,303559576
9/14/1993,0.182318,0.188043,0.180583,0.182318,328309040
9/15/1993,0.184179,0.188043,0.176965,0.184179,305859026
9/16/1993,0.182318,0.188043,0.182318,0.186349,102015026
9/17/1993,0.183243,0.192045,0.182318,0.189847,204162962
9/20/1993,0.189847,0.192045,0.186349,0.187196,131775484
9/21/1993,0.186349,0.189847,0.179696,0.184179,173857542
9/22/1993,0.182318,0.192045,0.182318,0.192045,131124221
9/23/1993,0.192045,0.192045,0.184179,0.186349,155408450
9/24/1993,0.188043,0.189847,0.184179,0.188043,90876479
9/27/1993,0.188043,0.189847,0.182318,0.186349,134314239
9/28/1993,0.186349,0.188043,0.182318,0.186349,112209903
9/29/1993,0.182318,0.187196,0.17875,0.179696,280963381
9/30/1993,0.180583,0.180583,0.173035,0.175765,326248731
10/1/1993,0.17125,0.173035,0.169062,0.17125,398742560
10/4/1993,0.170332,0.173035,0.165556,0.17125,228859266
10/5/1993,0.173035,0.180583,0.173035,0.176965,209240450
10/6/1993,0.17875,0.180583,0.175765,0.177913,208017595
10/7/1993,0.176965,0.17875,0.17125,0.173035,160100457
10/8/1993,0.174807,0.174807,0.167259,0.170332,165443810
10/11/1993,0.17125,0.180583,0.17125,0.17875,191243276
10/12/1993,0.180583,0.188043,0.17875,0.180583,363558981
10/13/1993,0.182318,0.182318,0.176965,0.180583,210064585
10/14/1993,0.180583,0.184179,0.176965,0.17875,190698374
10/15/1993,0.208848,0.214218,0.201298,0.212395,1133662848
10/18/1993,0.210709,0.216397,0.208848,0.213312,395193608
10/19/1993,0.212395,0.214218,0.205013,0.208848,253462561
10/20/1993,0.210709,0.212395,0.205013,0.208848,164260824
10/21/1993,0.206975,0.235013,0.205013,0.227541,744237918
10/22/1993,0.229295,0.23715,0.223836,0.227541,470053418
10/25/1993,0.227541,0.229295,0.222989,0.225689,260055271
10/26/1993,0.223836,0.225689,0.218181,0.223836,264029520
10/27/1993,0.225689,0.242592,0.223836,0.238916,544806847
10/28/1993,0.238916,0.242592,0.23324,0.23324,290121438
10/29/1993,0.23324,0.238916,0.229295,0.231445,162426561
11/1/1993,0.231445,0.23715,0.227541,0.23715,125767632
11/2/1993,0.235013,0.248307,0.23324,0.246404,266129645
11/3/1993,0.248307,0.248307,0.23324,0.238117,210011380
11/4/1993,0.23715,0.242592,0.231445,0.242592,219993659
11/5/1993,0.23988,0.242592,0.231445,0.23988,448640210
11/8/1993,0.240688,0.241605,0.229295,0.231445,198181657
11/9/1993,0.23324,0.235013,0.223836,0.226626,203232616
11/10/1993,0.227541,0.231445,0.225689,0.231445,91354995
11/11/1993,0.231445,0.240688,0.229295,0.235919,169032596
11/12/1993,0.23715,0.240688,0.229295,0.238916,170494702
11/15/1993,0.23715,0.246404,0.23715,0.240688,186444948
11/16/1993,0.240688,0.257561,0.238916,0.255826,359691122
11/17/1993,0.255826,0.263326,0.246404,0.252151,359146093
11/18/1993,0.252151,0.253983,0.248307,0.252151,135776340
11/19/1993,0.248307,0.252151,0.244395,0.248307,145931337
11/22/1993,0.246404,0.248307,0.242592,0.244395,178735685
11/23/1993,0.244395,0.248307,0.235013,0.248307,220937295
11/24/1993,0.246404,0.252151,0.24532,0.248307,107331793
11/26/1993,0.246404,0.248307,0.242592,0.24532,51559132
11/29/1993,0.242592,0.244395,0.23715,0.238916,114775313
11/30/1993,0.238916,0.24532,0.23715,0.23715,133702871
12/1/1993,0.240688,0.242592,0.235013,0.23715,131988194
12/2/1993,0.238916,0.240688,0.23324,0.238916,119453910
12/3/1993,0.238916,0.240688,0.23324,0.23715,142967275
12/6/1993,0.23715,0.244395,0.235013,0.242592,186298718
12/7/1993,0.240688,0.242592,0.23715,0.242592,75776906
12/8/1993,0.240688,0.242592,0.23715,0.23988,46986782
12/9/1993,0.238916,0.240688,0.223836,0.225689,216896606
12/10/1993,0.227541,0.229295,0.208848,0.212395,590132038
12/13/1993,0.212395,0.222121,0.208848,0.222121,289961997
12/14/1993,0.219974,0.223836,0.218181,0.219087,348512616
12/15/1993,0.218181,0.223836,0.218181,0.223836,147021320
12/16/1993,0.222121,0.223836,0.218181,0.22085,149972082
12/17/1993,0.222121,0.223836,0.219087,0.222121,172262586
12/20/1993,0.219974,0.223836,0.212395,0.214218,224340040
12/21/1993,0.214218,0.216397,0.205013,0.206975,298030166
12/22/1993,0.205013,0.214218,0.203123,0.210709,215248431
12/23/1993,0.205013,0.205013,0.199261,0.205013,269346288
12/27/1993,0.208848,0.216397,0.205013,0.214218,189807789
12/28/1993,0.216397,0.222121,0.214218,0.219087,189289398
12/29/1993,0.219974,0.219974,0.214218,0.214218,127402492
12/30/1993,0.214218,0.227541,0.214218,0.223836,373301895
